k6ps14_1.PV;k6t17.PV;k6t15.PV;k6t16.PV;k6p8.PV;k6l2.PV;k6p13.PV;k6t2_1.PV;k6f6x.PV;k0p102_1.PV;k6f6.PV;k6t6.PV;k6t14.PV;k6t3.PV
4.14;151.61;99.85;103.9;4.13;183.38;4.06;420.94;19.75;4.02;20.47;200.15;387.14;278.61
4.13;150.76;99.82;103.19;4.12;184.56;4.05;420.5;19.66;4.01;20.37;199.51;387.02;278.22
4.13;151.46;99.84;103.65;4.13;183.32;4.06;420.35;19.72;4.01;20.44;199.99;386.46;278.2
4.13;151.74;99.39;103.63;4.12;183;4.05;419.92;19.57;4.01;20.28;200.27;386.81;278.01
4.12;151.99;100.63;104.15;4.11;183.67;4.04;419.73;19.62;4;20.32;200.54;386.42;277.84
4.11;152.52;101.09;104.96;4.1;181.97;4.03;419.27;19.73;3.99;20.41;200.81;385.52;277.48
4.11;152.12;100.71;104.59;4.1;181.88;4.04;419.61;19.71;3.99;20.39;200.37;385.97;277.73
4.12;152.17;100.59;104.46;4.12;182.52;4.05;420.5;19.94;4;20.63;200.33;386.19;278.17
4.11;152.11;100.36;104.25;4.11;181.41;4.04;420.09;19.82;3.99;20.48;200.51;386.41;277.86
4.12;151.66;100.34;104.03;4.12;182.52;4.05;420.39;19.86;4;20.57;200.23;386.26;278.06
4.11;151.76;100.47;104.14;4.1;182.38;4.03;419.77;19.82;3.98;20.49;200.09;385.93;277.62
4.12;152.57;101.07;104.8;4.11;182.55;4.04;419.95;19.9;3.99;20.6;200.62;385.88;277.93
4.12;151.99;100.66;104.43;4.12;182.11;4.05;419.89;19.8;4;20.51;200.16;385.94;277.93
4.12;151.95;100.88;104.4;4.11;182.54;4.04;420.13;19.82;3.99;20.5;200.44;386.46;278.12
4.12;152.6;101.44;104.97;4.11;181.86;4.04;419.78;19.87;3.99;20.57;200.29;385.46;277.85
4.11;151.89;100.5;104.18;4.1;182.29;4.03;420.03;19.88;3.99;20.55;200.18;386;277.83
4.12;151.62;100.29;103.69;4.11;182.18;4.04;419.55;19.76;3.99;20.46;199.94;385.94;277.76
4.12;152.12;100.86;104.37;4.12;182.22;4.05;419.72;19.87;4;20.57;200.17;385.9;277.95
